Model,Digest,KV Cache Type,Average time[s],Average tokens/s,Inteded purpose,Language errors
dolphin3:8b-llama3.1-q8_0,e3310b61ffdb,Q8_0,2.3203,166.6624,coding,"java,py"
codestral:22b,0898a8b286d5,Q4_0,5.3421,91.9015,coding,"cs,go"
codeqwen:chat,df352abf55b1,Q4_0,3.8373,186.4107,coding,"go,java,rb"
qwen3:1.7b-fp16,e9354f6174db6aa7af,F16,13.804,266.0254,coding,"cpp,cs,go,java"
codellama:34b,685be00e1532,Q4_0,5.2825,74.7552,coding,sql
gemma3:27b,a418f5838eaf,Q4_K_M,30.7839,40.7476,coding,"java,sh,sql"
codestral:22b-v0.1-q5_0,05c0a78fd842,Q5_0,5.9074,75.4438,coding,sql
dolphin3:8b-llama3.1-fp16,b0941c6f3226,F16,3.4356,125.3161,coding,cs
cogito:14b,d0cac86a2347,Q4_K_M,6.7383,95.7562,coding,java
hermes3:8b,4f6b83f30b62,Q4_0,3.6342,186.7854,coding,"go,java"
nhn-small:latest,8530fca74a2a94c,q8_0,2.8753,164.3512,coding,"cs,go,java,py,sql"
devstral:24b-small-2505-q8_0,c180539775785745,Q8_0,13.2244,57.4989,coding,"java,sh"
qwen2.5-coder:32b-instruct-fp16,938472346418,F16,23.1682,30.9243,coding,"java,sh,sql"
qwen2.5-coder:32b-instruct-fp16,938472346418,F16,27.8596,30.8478,coding,"java,sh,sql"
qwen2.5-coder:32b-instruct-fp16,938472346418,F16,22.3905,30.9226,text,0
devstral:24b-small-2505-fp16,00d8e20b5637,F16,16.1909,42.6521,coding,java
devstral:24b-small-2505-fp16,00d8e20b5637,F16,21.7934,38.554,text,0
deepseek-r1:32b-qwen-distill-fp16,20ed0f80363b,F16,47.1075,30.8155,coding,java
deepseek-r1:32b-qwen-distill-fp16,20ed0f80363b,F16,24.2051,31.2536,text,0
deepseek-r1:70b-llama-distill-q8_0,98d07a28d239,Q8_0,62.8045,25.4701,coding,"go,java,sql"
deepseek-r1:70b-llama-distill-q8_0,98d07a28d239,Q8_0,33.9544,25.6836,text,0
mistral-small:24b-instruct-2501-fp16,6134e1a7e2c8,F16,15.5249,45.8326,coding,"java,sh,sql"
mistral-small:24b-instruct-2501-fp16,6134e1a7e2c8,F16,11.2622,45.6099,text,0
hermes3:70b,60ef54cd913f,Q4_0,23.0626,22.0394,coding,"cs,java"
hermes3:70b,60ef54cd913f,Q4_0,17.3321,27.7452,text,0
mixtral:v0.1,e8479ee1cb51,Q4_0,9.6883,56.4958,coding,"cs,go,java,py"
mixtral:v0.1,e8479ee1cb51,Q4_0,8.5319,57.5206,text,0
mixtral:8x7b-instruct-v0.1-q8_0,4b4321b5a853,Q8_0,10.4483,85.1079,coding,"java,js,py,sh"
mixtral:8x7b-instruct-v0.1-q8_0,4b4321b5a853,Q8_0,5.9626,92.4972,text,0
magistral:24b-small-2506-q8_0,02423f83f1a1,Q8_0,73.4161,55.3658,coding,"cs,go,java,json,py,sh,sql,xml"
magistral:24b-small-2506-q8_0,02423f83f1a1,Q8_0,23.9548,67.5807,text,0
cogito:32b-v1-preview-qwen-fp16,d76677b01639,F16,20.2236,29.9969,coding,"go,java,sh,sql"
cogito:32b-v1-preview-qwen-fp16,d76677b01639,F16,12.4597,30.3076,text,0
hermes3:70b-llama3.1-fp16,e95c7ce02c58,F16,36.0894,19.5699,coding,"cs,java"
hermes3:70b-llama3.1-fp16,e95c7ce02c58,F16,21.5329,19.707,text,0        
nhn-small:latest,8530fca74a2a94c,q8_0,10,65,coding,"cs,go,java,sh"
nhn-small:latest,8530fca74a2a94c,q8_0,5,68,text,0
nhn-medium:latest,0609171a3d9a05,F16,21,44,coding,"java,sh,sql"
nhn-medium:latest,0609171a3d9a05,F16,11,42,text,0
nhn-large:latest,a28ddf13553,F16,64,31,coding,"java,py,sql"
nhn-large:latest,a28ddf13553,F16,22,30,text,0
nhn-small:latest,8530fca74a2a94c,q8_0,59,81,coding,"cs,go,java,sh"
nhn-small:latest,8530fca74a2a94c,q8_0,27,80,text,0
magistral:24b-small-2506-fp16,0a0e2be3b6c4,F16,77,43,coding,"cs,go,sql"
magistral:24b-small-2506-fp16,0a0e2be3b6c4,F16,32,44,text,0
qwen3:1.7b-q8_0,29b6a7a420a42b7d5,Q8_0,15,248,coding,"cpp,go,java"
qwen3:1.7b-q8_0,29b6a7a420a42b7d5,Q8_0,6,202,text,0
qwen3:30b-a3b-fp16,a46ad892011c,F16,101,102,coding,"cs,java,sh"
qwen3:30b-a3b-fp16,a46ad892011c,F16,13,103,text,0
qwen3:32b-fp16,00dc0cb60a08,F16,69,32,coding,"go,java,sh,sql"
qwen3:32b-fp16,00dc0cb60a08,F16,43,33,text,0
mixtral:8x7b,a3b6bef0f836,Q4_0,6,117,coding,java
mixtral:8x7b,a3b6bef0f836,Q4_0,6,83,text,0
hermes3:70b-llama3.1-q8_0,72f0aa5b30bb,Q8_0,21,27,coding,java
hermes3:70b-llama3.1-q8_0,72f0aa5b30bb,Q8_0,15,27,text,0
cogito:70b-v1-preview-llama-q8_0,9c80b552cd74,Q8_0,27,26,coding,"go,java,sql"
cogito:70b-v1-preview-llama-q8_0,9c80b552cd74,Q8_0,14,26,text,0
cogito:32b,0b4aab772f57,Q4_K_M,16,37,coding,"cs,go,java,sql"
cogito:32b,0b4aab772f57,Q4_K_M,13,25,text,0
cogito:70b,8f2632d0faa4,Q4_K_M,23,26,coding,"cpp,cs,java,sql"
cogito:70b,8f2632d0faa4,Q4_K_M,15,28,text,0
nhn-small:latest,8530fca74a2a94c,q8_0,10,49,coding,"java,sh"
nhn-small:latest,8530fca74a2a94c,q8_0,8,47,summarization,0
nhn-small:latest,8530fca74a2a94c,q8_0,9,40,text,0
nhn-small:latest,8530fca74a2a94c,q8_0,52,86,coding,"java,json"
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,7,106,coding,0
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,8,103,summarization,0
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,7,105,text,0
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,8,108,coding,"cs,java,sql"
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,9,104,summarization,0
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,7,107,text,0
qwen3-coder:30b-a3b-q4_K_M,ad67f85ca250,Q4_K_M,7,118,coding,"cs,java,sql"
qwen3-coder:30b-a3b-q4_K_M,ad67f85ca250,Q4_K_M,7,113,summarization,0
qwen3-coder:30b-a3b-q4_K_M,ad67f85ca250,Q4_K_M,6,119,text,0
qwen3-coder:30b-a3b-fp16,e481f3891b3e,F16,26,102,coding,"cs,java,sql"
qwen3-coder:30b-a3b-fp16,e481f3891b3e,F16,9,100,summarization,0
qwen3-coder:30b-a3b-fp16,e481f3891b3e,F16,24,102,text,0
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,21,56,coding,"java,sql"
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,47,61,summarization,0
qwen3-coder:30b-a3b-q8_0,bdecf39e3ee4,Q8_0,9,84,text,0
